"","2022-03-2022-12"
"Annualized Returns",
"2022-03-26_to_2022-12-01_Index_3QRank","-82.754"
"2022-03-26_to_2022-12-01_Crypto10_Index","-89.475"
"Volatility",
"2022-03-26_to_2022-12-01_Index_3QRank","76.57"
"2022-03-26_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-26_to_2022-12-01_Index_3QRank","37.6"
"2022-03-26_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-26_to_2022-12-01_Index_3QRank","0.18"
"2022-03-26_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-26_to_2022-12-01_Index_3QRank","-2.38"
"2022-03-26_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-26_to_2022-12-01_Index_3QRank","0.73"
"2022-03-26_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-26_to_2022-12-01_Index_3QRank","85.55"
"2022-03-26_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-26_to_2022-12-01_Index_3QRank","-75.8424"
"2022-03-26_to_2022-12-01_Crypto10_Index","-79.9416"
