"","2022-01-2022-12"
"Annualized Returns",
"2022-01-22_to_2022-12-01_Index_3QRank","-62.866"
"2022-01-22_to_2022-12-01_Crypto10_Index","-82.101"
"Volatility",
"2022-01-22_to_2022-12-01_Index_3QRank","76.1"
"2022-01-22_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-22_to_2022-12-01_Index_3QRank","44.23"
"2022-01-22_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-22_to_2022-12-01_Index_3QRank","0.43"
"2022-01-22_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-22_to_2022-12-01_Index_3QRank","1.76"
"2022-01-22_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-22_to_2022-12-01_Index_3QRank","0.74"
"2022-01-22_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-22_to_2022-12-01_Index_3QRank","72.17"
"2022-01-22_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-22_to_2022-12-01_Index_3QRank","-73.0938"
"2022-01-22_to_2022-12-01_Crypto10_Index","-81.2244"
