"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-27_to_2022-12-01_Index_3QRank","-74.652","-69.737"
"2021-10-27_to_2022-12-01_Crypto10_Index","-85.498","-82.735"
"Volatility",,
"2021-10-27_to_2022-12-01_Index_3QRank","77.13","70.65"
"2021-10-27_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-27_to_2022-12-01_Index_3QRank","47.29","44.24"
"2021-10-27_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-27_to_2022-12-01_Index_3QRank","0.23","0.29"
"2021-10-27_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-27_to_2022-12-01_Index_3QRank","0.5","0.59"
"2021-10-27_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-27_to_2022-12-01_Index_3QRank","0.76","0.74"
"2021-10-27_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-27_to_2022-12-01_Index_3QRank","66","66.09"
"2021-10-27_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-27_to_2022-12-01_Index_3QRank","-79.8891","-82.3461"
"2021-10-27_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
