"","2022-02-2022-12"
"Annualized Returns",
"2022-02-20_to_2022-12-01_Index_3QRank","-71.269"
"2022-02-20_to_2022-12-01_Crypto10_Index","-86.144"
"Volatility",
"2022-02-20_to_2022-12-01_Index_3QRank","79.97"
"2022-02-20_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-20_to_2022-12-01_Index_3QRank","38.76"
"2022-02-20_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-20_to_2022-12-01_Index_3QRank","0.38"
"2022-02-20_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-20_to_2022-12-01_Index_3QRank","0.86"
"2022-02-20_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-20_to_2022-12-01_Index_3QRank","0.78"
"2022-02-20_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-20_to_2022-12-01_Index_3QRank","80.57"
"2022-02-20_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-20_to_2022-12-01_Index_3QRank","-74.6143"
"2022-02-20_to_2022-12-01_Crypto10_Index","-79.9416"
