"","2021-09-18_to_2022-12-01_Index_3QRank","2021-09-18_to_2022-12-01_Crypto10_Index"
"2021-09-18",0,0
"2021-09-19",-3.57381298485184,0
"2021-09-20",-16.2504445620446,-16.4593
"2021-09-21",-20.2417179682668,-24.45787
"2021-09-22",-8.78019780992866,-19.78315
"2021-09-23",-7.08533763224266,-16.4593
"2021-09-24",-13.3677380176056,-21.79168
"2021-09-25",-14.3578427215044,-21.79168
"2021-09-26",-15.0606950392414,-21.79168
"2021-09-27",-17.2118866271736,-21.32954
"2021-09-28",-20.6871902664989,-26.43086
"2021-09-29",-17.9769084835956,-31.5144
"2021-09-30",-14.9243166335742,-25.36438
"2021-10-01",-7.49572191203437,-23.99573
"2021-10-02",-5.50428143105065,-23.99573
"2021-10-03",-3.76321599386418,-23.99573
"2021-10-04",-6.69496445322387,-25.34661
"2021-10-05",-3.96613855103081,-17.40135
"2021-10-06",-4.83158572819256,-10.94916
"2021-10-07",-4.44846389226048,-11.10914
"2021-10-08",-4.5593116572312,-7.48310999999999
"2021-10-09",-3.37503339063461,-7.48310999999999
"2021-10-10",-7.98844155959604,-7.48310999999999
"2021-10-11",-7.4330870828353,-5.90116999999999
"2021-10-12",-8.68497526141244,-13.25986
"2021-10-13",-7.28246637860073,-10.68255
"2021-10-14",-6.14036986004921,-5.26129000000001
"2021-10-15",0,-2.41735
"2021-10-16",-1.17452822574863,-2.41735
"2021-10-17",-2.60039600331684,-2.41735
"2021-10-18",-2.81146842543658,-7.57199
"2021-10-19",-1.80381927748466,-11.12691
"2021-10-20",0,-8.99396
"2021-10-21",0,-3.48383
"2021-10-22",0,-4.90579
"2021-10-23",0,-4.90579
"2021-10-24",0,-4.90579
"2021-10-25",0,-6.86100000000001
"2021-10-26",-0.738612578481357,-8.63845999999999
"2021-10-27",-8.19516789733291,-13.61536
"2021-10-28",-0.740113810708232,-10.68255
"2021-10-29",0,-9.34945
"2021-10-30",-3.38192482317421,-9.34945
"2021-10-31",-1.52725486518391,-9.34945
"2021-11-01",-1.05411838557292,-11.66015
"2021-11-02",0,-11.96232
"2021-11-03",0,-11.12691
"2021-11-04",-1.33797043626533,-10.647
"2021-11-05",-3.11818983040573,-11.30466
"2021-11-06",-1.48995945859439,-11.30466
"2021-11-07",0,-11.30466
"2021-11-08",0,-8.44293999999999
"2021-11-09",0,-9.26058000000001
"2021-11-10",-3.11827269847953,-12.90437
"2021-11-11",-1.59257181529928,-11.12691
"2021-11-12",-4.02946041214827,-11.12691
"2021-11-13",-0.608615984829208,-11.12691
"2021-11-14",0,-11.12691
"2021-11-15",-2.79099576452012,-11.58905
"2021-11-16",-9.84292902781925,-13.25986
"2021-11-17",-8.08210945404454,-17.68574
"2021-11-18",-15.410778665812,-19.16104
"2021-11-19",-9.16706082249181,-15.83718
"2021-11-20",-5.39653526728662,-15.83718
"2021-11-21",-5.5177487457534,-15.83718
"2021-11-22",-8.24402125414571,-24.90224
"2021-11-23",-6.60082764460159,-23.21365
"2021-11-24",-9.36883968431238,-15.57057
"2021-11-25",-6.92805521057483,-15.57057
"2021-11-26",-16.0916196550486,-14.73516
"2021-11-27",-14.1933630217628,-14.73516
"2021-11-28",-12.8446495028356,-14.73516
"2021-11-29",-8.87002468353922,-11.6957
"2021-11-30",-8.64747770407429,-11.30466
"2021-12-01",-5.47077815740721,-13.09989
"2021-12-02",-6.91110299206811,-13.40206
"2021-12-03",-10.2248325795654,-18.4145
"2021-12-04",-19.8485387679399,-18.4145
"2021-12-05",-21.7299130338836,-18.4145
"2021-12-06",-17.5907317740791,-19.14326
"2021-12-07",-17.7176575846006,-20.01422
"2021-12-08",-15.8720556020976,-15.67721
"2021-12-09",-23.3646356116075,-15.32172
"2021-12-10",-25.9880275964866,-19.12549
"2021-12-11",-22.5967188453965,-19.12549
"2021-12-12",-22.3585403152157,-19.12549
"2021-12-13",-30.3019333359208,-25.32883
"2021-12-14",-29.1905669628214,-23.3914
"2021-12-15",-21.0757823774463,-22.48489
"2021-12-16",-22.9464553735282,-26.35976
