"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-07_to_2022-12-01_Index_3QRank","-76.463","-64.537"
"2021-10-07_to_2022-12-01_Crypto10_Index","-85.498","-81.69"
"Volatility",,
"2021-10-07_to_2022-12-01_Index_3QRank","82.14","76.96"
"2021-10-07_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-07_to_2022-12-01_Index_3QRank","46.43","44.21"
"2021-10-07_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-07_to_2022-12-01_Index_3QRank","0.19","0.39"
"2021-10-07_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-07_to_2022-12-01_Index_3QRank","0.79","2.21"
"2021-10-07_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-07_to_2022-12-01_Index_3QRank","0.82","0.82"
"2021-10-07_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-07_to_2022-12-01_Index_3QRank","68.3","67.72"
"2021-10-07_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-07_to_2022-12-01_Index_3QRank","-81.7536","-82.6434"
"2021-10-07_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
