"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-13_to_2022-12-01_Index_3QRank","-75.222","-75.666"
"2021-11-13_to_2022-12-01_Crypto10_Index","-85.498","-84.457"
"Volatility",,
"2021-11-13_to_2022-12-01_Index_3QRank","82.05","78.29"
"2021-11-13_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-13_to_2022-12-01_Index_3QRank","36.76","36.33"
"2021-11-13_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-13_to_2022-12-01_Index_3QRank","0.28","0.24"
"2021-11-13_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-13_to_2022-12-01_Index_3QRank","1.75","2.24"
"2021-11-13_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-13_to_2022-12-01_Index_3QRank","0.88","0.86"
"2021-11-13_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-13_to_2022-12-01_Index_3QRank","79.53","78.64"
"2021-11-13_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-13_to_2022-12-01_Index_3QRank","-80.1368","-81.8056"
"2021-11-13_to_2022-12-01_Crypto10_Index","-85.948","-86.26"
