"","2022-03-2022-12"
"Annualized Returns",
"2022-03-21_to_2022-12-01_Index_3QRank","-79.241"
"2022-03-21_to_2022-12-01_Crypto10_Index","-87.83"
"Volatility",
"2022-03-21_to_2022-12-01_Index_3QRank","75.42"
"2022-03-21_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-21_to_2022-12-01_Index_3QRank","38.11"
"2022-03-21_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-21_to_2022-12-01_Index_3QRank","0.23"
"2022-03-21_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-21_to_2022-12-01_Index_3QRank","-2.6"
"2022-03-21_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-21_to_2022-12-01_Index_3QRank","0.72"
"2022-03-21_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-21_to_2022-12-01_Index_3QRank","85.51"
"2022-03-21_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-21_to_2022-12-01_Index_3QRank","-75.7724"
"2022-03-21_to_2022-12-01_Crypto10_Index","-79.9416"
