"","2022-02-2022-12"
"Annualized Returns",
"2022-02-07_to_2022-12-01_Index_3QRank","-75.763"
"2022-02-07_to_2022-12-01_Crypto10_Index","-86.169"
"Volatility",
"2022-02-07_to_2022-12-01_Index_3QRank","81.8"
"2022-02-07_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-07_to_2022-12-01_Index_3QRank","41.09"
"2022-02-07_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-07_to_2022-12-01_Index_3QRank","0.25"
"2022-02-07_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-07_to_2022-12-01_Index_3QRank","1.2"
"2022-02-07_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-07_to_2022-12-01_Index_3QRank","0.79"
"2022-02-07_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-07_to_2022-12-01_Index_3QRank","77.84"
"2022-02-07_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-07_to_2022-12-01_Index_3QRank","-73.7388"
"2022-02-07_to_2022-12-01_Crypto10_Index","-81.2244"
