"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-05_to_2022-12-01_Index_3QRank","-74.934","-71.522"
"2021-11-05_to_2022-12-01_Crypto10_Index","-85.498","-83.823"
"Volatility",,
"2021-11-05_to_2022-12-01_Index_3QRank","76.8","73.33"
"2021-11-05_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-05_to_2022-12-01_Index_3QRank","46.93","45.57"
"2021-11-05_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-05_to_2022-12-01_Index_3QRank","0.23","0.27"
"2021-11-05_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-05_to_2022-12-01_Index_3QRank","0.4","0.74"
"2021-11-05_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-05_to_2022-12-01_Index_3QRank","0.76","0.75"
"2021-11-05_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-05_to_2022-12-01_Index_3QRank","66.43","66.22"
"2021-11-05_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-05_to_2022-12-01_Index_3QRank","-81.042","-82.4793"
"2021-11-05_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
