"","2021-12-2022-12"
"Annualized Returns",
"2021-12-26_to_2022-12-01_Index_3QRank","-74.248"
"2021-12-26_to_2022-12-01_Crypto10_Index","-85.04"
"Volatility",
"2021-12-26_to_2022-12-01_Index_3QRank","70.43"
"2021-12-26_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-26_to_2022-12-01_Index_3QRank","50.22"
"2021-12-26_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-26_to_2022-12-01_Index_3QRank","0.21"
"2021-12-26_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-26_to_2022-12-01_Index_3QRank","-0.4"
"2021-12-26_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-26_to_2022-12-01_Index_3QRank","0.67"
"2021-12-26_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-26_to_2022-12-01_Index_3QRank","60.97"
"2021-12-26_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-26_to_2022-12-01_Index_3QRank","-77.8232"
"2021-12-26_to_2022-12-01_Crypto10_Index","-84.0788"
