"","2021-10-24_to_2022-12-01_Index_3QRank","2021-10-24_to_2022-12-01_Crypto10_Index"
"2021-10-24",0,0
"2021-10-25",0,-2.05607000000001
"2021-10-26",-0.316517431952879,-3.92523
"2021-10-27",-8.25857016982536,-9.15887999999999
"2021-10-28",-1.2610854878455,-6.07477
"2021-10-29",-0.193298730934943,-4.6729
"2021-10-30",-3.7804487542947,-4.6729
"2021-10-31",-2.36169231976792,-4.6729
"2021-11-01",-1.02849001493366,-7.1028
"2021-11-02",0,-7.42056
"2021-11-03",0,-6.54206
"2021-11-04",-2.21438437826982,-6.03738
"2021-11-05",-2.49590224055229,-6.72897
"2021-11-06",-1.61827882200761,-6.72897
"2021-11-07",-0.700042867533623,-6.72897
"2021-11-08",0,-3.71963
"2021-11-09",0,-4.57944
"2021-11-10",-2.22898513123743,-8.41121
"2021-11-11",-1.00996557175214,-6.54206
"2021-11-12",-3.28740377286092,-6.54206
"2021-11-13",-1.24214175673227,-6.54206
"2021-11-14",-0.264662453099629,-6.54206
"2021-11-15",-3.56335891386841,-7.02804
"2021-11-16",-11.5366961945275,-8.78504999999999
"2021-11-17",-10.7413445938563,-13.43925
"2021-11-18",-17.8823068064754,-14.99065
"2021-11-19",-12.2173912138668,-11.49533
"2021-11-20",-9.75637961785529,-11.49533
"2021-11-21",-10.040663301614,-11.49533
"2021-11-22",-14.2084996099585,-21.02804
"2021-11-23",-11.9054069431742,-19.25234
"2021-11-24",-14.5994034770113,-11.21495
"2021-11-25",-13.5974715491495,-11.21495
"2021-11-26",-21.306269858839,-10.33645
"2021-11-27",-20.2709102781346,-10.33645
"2021-11-28",-18.3181446276868,-10.33645
"2021-11-29",-15.373242041996,-7.14019
"2021-11-30",-15.092741756816,-6.72897
"2021-12-01",-12.0431557601474,-8.61682
"2021-12-02",-11.9558435929703,-8.93457999999999
"2021-12-03",-15.9172783494183,-14.20561
"2021-12-04",-24.5507512966477,-14.20561
"2021-12-05",-26.0528731106823,-14.20561
"2021-12-06",-22.7909177610026,-14.97196
"2021-12-07",-22.2429976928096,-15.88785
"2021-12-08",-19.9874114012625,-11.3271
"2021-12-09",-27.5514445426306,-10.95327
"2021-12-10",-30.56909806619,-14.95327
"2021-12-11",-26.9502112151676,-14.95327
"2021-12-12",-26.6454800319735,-14.95327
"2021-12-13",-34.564005497941,-21.47664
"2021-12-14",-34.369375032312,-19.43925
"2021-12-15",-26.9849644048917,-18.48598
"2021-12-16",-29.1001796731854,-22.56075
"2021-12-17",-29.2143327644462,-21.45794
"2021-12-18",-26.3872277829006,-21.45794
"2021-12-19",-27.1273817691838,-21.45794
"2021-12-20",-28.0979913341092,-24.72897
"2021-12-21",-24.2863600630321,-23.34579
"2021-12-22",-23.311806671508,-23.45794
"2021-12-23",-17.9152644944223,-22.2243
"2021-12-24",-20.5994107188832,-22.2243
"2021-12-25",-18.8214273824205,-22.2243
"2021-12-26",-16.429387541716,-22.2243
"2021-12-27",-17.3272222689685,-19.34579
"2021-12-28",-24.0673118134883,-24.39252
"2021-12-29",-25.7161524545311,-28.07477
"2021-12-30",-24.0729543726435,-27.98131
"2021-12-31",-24.8958348103839,-28.69159
"2022-01-01",-22.1450081585092,-28.69159
"2022-01-02",-21.8581088096734,-28.69159
"2022-01-03",-22.8105231117444,-28.57944
"2022-01-04",-24.1439679287585,-26.54206
"2022-01-05",-27.3041503779,-28.03738
"2022-01-06",-27.2028139916529,-31.38318
"2022-01-07",-30.8841557824223,-32.8972
"2022-01-08",-31.8588087094224,-32.8972
"2022-01-09",-29.510239852756,-32.8972
"2022-01-10",-30.9925512460073,-33.38318
"2022-01-11",-28.0684851002944,-28.63551
"2022-01-12",-24.9251775369984,-26.54206
"2022-01-13",-28.8651181847707,-30.74766
"2022-01-14",-26.5689874919411,-29.90654
"2022-01-15",-26.1520290276428,-29.90654
"2022-01-16",-25.6546723885803,-29.90654
"2022-01-17",-27.0327773877138,-29.90654
"2022-01-18",-29.7435382458625,-31.19626
"2022-01-19",-32.9870109812714,-32.18692
"2022-01-20",-36.4416118997943,-34.72897
"2022-01-21",-44.606461860025,-42.05607
"2022-01-22",-49.3325187529689,-42.05607
"2022-01-23",-46.8249353210147,-42.05607
"2022-01-24",-49.4438559960159,-50.84112
"2022-01-25",-48.8864221634358,-48.13084
"2022-01-26",-48.9308732661181,-46.33645
"2022-01-27",-49.4122338267163,-45.94393
"2022-01-28",-47.5639915795408,-41.51402
"2022-01-29",-46.6091339059754,-41.51402
"2022-01-30",-47.1332289207732,-41.51402
"2022-01-31",-46.4581940325761,-41.04673
"2022-02-01",-44.9607269586422,-40.28037
"2022-02-02",-48.3765300912048,-42.05607
"2022-02-03",-47.7971847399961,-43.66355
"2022-02-04",-42.893704124613,-38.65421
"2022-02-05",-42.2727588238783,-38.65421
"2022-02-06",-41.0711593072274,-38.65421
"2022-02-07",-36.8003692338331,-33.71963
"2022-02-08",-38.0764526085115,-34.18692
"2022-02-09",-36.2700767502627,-31.60748
"2022-02-10",-39.2989438421961,-31.96262
"2022-02-11",-43.9897365402858,-39.23364
"2022-02-12",-44.3069554697455,-39.23364
"2022-02-13",-45.083259693536,-39.23364
"2022-02-14",-44.7312067890434,-37.94393
"2022-02-15",-40.0487846783894,-34.82243
"2022-02-16",-40.86645508202,-34.4486
"2022-02-17",-45.9755210974979,-37.57009
"2022-02-18",-47.3496275217758,-38.31776
"2022-02-19",-46.7348802212052,-38.31776
"2022-02-20",-49.6179984398897,-38.31776
"2022-02-21",-53.2061185376066,-38.31776
"2022-02-22",-51.3661948924822,-43.17757
"2022-02-23",-52.4119428489735,-42.76636
"2022-02-24",-52.254926856877,-44.01869
"2022-02-25",-49.4385174700127,-42.63551
"2022-02-26",-49.6216426535785,-42.63551
"2022-02-27",-52.2567163937717,-42.63551
"2022-02-28",-46.7288172584387,-40.71028
"2022-03-01",-46.4859575293166,-39.58879
"2022-03-02",-46.9483535175326,-40.05607
"2022-03-03",-48.4153236223921,-41.7757
"2022-03-04",-52.1833519428388,-45.19626
"2022-03-05",-51.1006434405479,-45.19626
"2022-03-06",-53.2728542310713,-45.19626
"2022-03-07",-54.4572324423927,-46.97196
"2022-03-08",-53.6428050426091,-46.8785
"2022-03-09",-50.7913395481811,-43.66355
"2022-03-10",-53.2392200577865,-44.72897
"2022-03-11",-53.8221843748993,-45.23364
"2022-03-12",-53.6601004496507,-45.23364
"2022-03-13",-55.003855943528,-45.23364
"2022-03-14",-53.7196585475923,-44.76636
"2022-03-15",-53.2547640204736,-43.17757
"2022-03-16",-50.666894897959,-43.38318
"2022-03-17",-50.7647859438067,-43.64486
"2022-03-18",-49.1500336439053,-42.29907
"2022-03-19",-47.8463353722987,-42.29907
"2022-03-20",-49.4438447239493,-42.29907
"2022-03-21",-48.5225984213181,-42.28037
"2022-03-22",-46.7557419272465,-41.28972
"2022-03-23",-45.1365199521296,-43.36449
"2022-03-24",-43.2332467247187,-40.29907
"2022-03-25",-44.6984176274225,-38.05607
"2022-03-26",-43.6347807361523,-38.05607
"2022-03-27",-41.0053552074245,-38.05607
"2022-03-28",-41.7331636768034,-37.38318
"2022-03-29",-40.484983019823,-35.98131
"2022-03-30",-39.5316631219846,-37.38318
"2022-03-31",-41.0700799158478,-39.68224
"2022-04-01",-39.2667955647268,-38.09346
"2022-04-02",-39.8158765982188,-38.09346
"2022-04-03",-38.1214367933459,-38.09346
"2022-04-04",-39.4432191095247,-37.51402
"2022-04-05",-41.4496094908923,-38.59813
"2022-04-06",-46.5784461597491,-42.13084
"2022-04-07",-44.8766231236721,-41.51402
"2022-04-08",-47.4107029975564,-43.71963
"2022-04-09",-46.3954064075331,-43.71963
"2022-04-10",-47.2581533625094,-43.71963
"2022-04-11",-51.8982648575676,-45.83178
"2022-04-12",-50.444813205797,-46.72897
"2022-04-13",-48.8732913548751,-44.65421
"2022-04-14",-50.6236361392431,-46.61682
"2022-04-15",-49.5836777196288,-46.61682
"2022-04-16",-49.2133142244749,-46.61682
"2022-04-17",-50.9087345726699,-46.61682
"2022-04-18",-49.4521550442095,-46.39252
"2022-04-19",-48.3558711248045,-45.27103
"2022-04-20",-49.2001188260664,-44.74766
"2022-04-21",-50.9145904345251,-45.3271
"2022-04-22",-51.051977692119,-46.80374
"2022-04-23",-51.7010908268614,-46.80374
"2022-04-24",-52.1857512998539,-46.80374
"2022-04-25",-51.6132339864678,-47.1028
"2022-04-26",-54.9590293583518,-49.53271
"2022-04-27",-53.9579608198698,-49.17757
"2022-04-28",-53.8917546257854,-47.62617
"2022-04-29",-56.2309823532983,-50.72897
"2022-04-30",-59.3174603300129,-50.72897
"2022-05-01",-57.6421644585695,-50.72897
"2022-05-02",-57.7931414583706,-50.09346
"2022-05-03",-58.1869621571496,-51.40187
"2022-05-04",-54.4512795810868,-50.72897
"2022-05-05",-58.7585617923529,-56.91589
"2022-05-06",-59.2609869456594,-58.16822
"2022-05-07",-60.312313060713,-58.16822
"2022-05-08",-61.6207961849769,-58.16822
"2022-05-09",-67.8544930647454,-62.85981
"2022-05-10",-66.3782881490883,-63.28972
"2022-05-11",-73.1836041351727,-67.3271
"2022-05-12",-74.695997017767,-70.29907
"2022-05-13",-72.8411427026763,-66.82243
"2022-05-14",-72.005724045243,-66.82243
"2022-05-15",-70.0403008755205,-66.82243
"2022-05-16",-72.1937142889957,-63.83178
"2022-05-17",-70.5482375795071,-63.17757
"2022-05-18",-73.839948105724,-64.48598
"2022-05-19",-72.322976508283,-64.91589
"2022-05-20",-73.4401848528156,-66.6729
"2022-05-21",-72.9862367214489,-66.6729
"2022-05-22",-71.9552012822076,-66.6729
"2022-05-23",-73.3716101476243,-66.82243
"2022-05-24",-72.8575877118639,-67.25234
"2022-05-25",-73.6033486810196,-67.21495
"2022-05-26",-75.3719030203479,-68.69159
"2022-05-27",-76.4669749644689,-70.39252
"2022-05-28",-75.6884451831144,-70.39252
"2022-05-29",-75.0883834158199,-70.39252
"2022-05-30",-72.6829595319965,-70.39252
"2022-05-31",-72.5053703474886,-70.09346
"2022-06-01",-74.9659496103533,-71.58879
"2022-06-02",-74.209702715767,-71.79439
"2022-06-03",-75.2994555392105,-72.4486
"2022-06-04",-74.639003824458,-72.4486
"2022-06-05",-74.6068837824272,-72.4486
"2022-06-06",-73.3327521303923,-70.57944
"2022-06-07",-73.3554412202047,-70.76636
"2022-06-08",-73.6045447300711,-71.21495
"2022-06-09",-73.2475379791996,-71.98131
"2022-06-10",-75.390564010099,-72.52336
"2022-06-11",-77.4259352986067,-72.52336
"2022-06-12",-79.2676438793798,-72.52336
"2022-06-13",-81.4698112441493,-76.4486
"2022-06-14",-80.5887604600633,-78.46729
"2022-06-15",-79.0159159385877,-77.60748
"2022-06-16",-81.5977828636663,-77.58879
"2022-06-17",-80.9694613758008,-78.13084
"2022-06-18",-82.0038506106259,-78.13084
"2022-06-19",-80.1405071307349,-78.13084
"2022-06-20",-79.7493219385046,-78.13084
"2022-06-21",-79.6922041736745,-76.26168
"2022-06-22",-80.0742884353288,-77.73832
"2022-06-23",-78.1476455026998,-76.91589
"2022-06-24",-77.0660820983485,-77.5514
"2022-06-25",-76.8159511796109,-77.5514
"2022-06-26",-77.9891613678334,-77.5514
"2022-06-27",-78.5066569804901,-78.50467
"2022-06-28",-79.5322428093755,-79.85047
"2022-06-29",-79.8503347288052,-81.1215
"2022-06-30",-80.0430460445268,-83.45794
"2022-07-01",-80.6915959558103,-83.38318
"2022-07-02",-80.3055401479248,-83.38318
"2022-07-03",-80.4830937466895,-83.38318
"2022-07-04",-79.5449611577752,-83.38318
"2022-07-05",-79.868849384849,-82.37383
"2022-07-06",-79.4635650000112,-83.04673
"2022-07-07",-78.4972922840949,-81.30841
"2022-07-08",-78.5115552295705,-81.70093
"2022-07-09",-78.2619449796434,-81.70093
"2022-07-10",-79.0644810084728,-81.70093
"2022-07-11",-80.0987832816127,-81.98131
"2022-07-12",-80.6818656281605,-82.80374
"2022-07-13",-79.2020985460794,-83.25234
"2022-07-14",-78.1862654581696,-82.07477
"2022-07-15",-78.0517987082133,-80.97196
"2022-07-16",-77.0069275880494,-80.97196
"2022-07-17",-77.0660090148438,-80.97196
"2022-07-18",-73.8209009788265,-78.63551
"2022-07-19",-73.7236211011025,-77.70093
"2022-07-20",-75.1291081442074,-74.6729
"2022-07-21",-74.2075553406358,-75.71963
"2022-07-22",-75.2401958140491,-76.76636
"2022-07-23",-74.9079166258501,-76.76636
"2022-07-24",-74.3850246214121,-76.76636
"2022-07-25",-76.7700073378484,-78.54206
"2022-07-26",-76.9659482591743,-80.54206
"2022-07-27",-74.4674724568579,-78.09346
"2022-07-28",-73.0867695895834,-77.06542
"2022-07-29",-72.8978233394197,-76.52336
"2022-07-30",-73.040396875746,-76.52336
"2022-07-31",-73.3800556355991,-76.52336
"2022-08-01",-73.7891299307009,-77.3271
"2022-08-02",-74.5453425089097,-76.54206
"2022-08-03",-74.5297523971714,-76.20561
"2022-08-04",-74.258920860394,-77.38318
"2022-08-05",-73.0017389530551,-76.65421
"2022-08-06",-73.3498367547723,-76.65421
"2022-08-07",-72.8449748796919,-76.65421
"2022-08-08",-72.1558066738042,-75.66355
"2022-08-09",-73.0278155737764,-76.97196
"2022-08-10",-71.7587101570195,-75.86916
"2022-08-11",-71.9067436096737,-74.48598
"2022-08-12",-71.1932144478887,-74.4486
"2022-08-13",-70.4001697291923,-74.4486
"2022-08-14",-70.9660416878914,-74.4486
"2022-08-15",-71.8353034184087,-73.60748
"2022-08-16",-72.1057475742022,-74.2243
"2022-08-17",-73.2607326286609,-75.60748
"2022-08-18",-73.9425606087318,-75.60748
"2022-08-19",-76.6076518160241,-77.42056
"2022-08-20",-76.5503089065829,-77.42056
"2022-08-21",-75.8331984490765,-77.42056
"2022-08-22",-75.8608587743371,-78.41121
"2022-08-23",-75.4189759957171,-77.66355
"2022-08-24",-75.7998511328473,-77.79439
"2022-08-25",-75.6304361412376,-77.81308
"2022-08-26",-77.6059318492835,-78.78505
"2022-08-27",-77.2087419884495,-78.78505
"2022-08-28",-77.815168466818,-78.78505
"2022-08-29",-76.6658017402488,-79.04673
"2022-08-30",-77.1506149739792,-78.74766
"2022-08-31",-76.9150607173721,-78.57944
"2022-09-01",-75.9392210641225,-79.08411
"2022-09-02",-75.7708361280048,-78.6729
"2022-09-03",-75.6588312413462,-78.6729
"2022-09-04",-75.1551574917693,-78.6729
"2022-09-05",-75.1101560018801,-78.6729
"2022-09-06",-77.0178221509105,-79.62617
"2022-09-07",-75.9868583554457,-78.09346
"2022-09-08",-75.605203813638,-77.70093
"2022-09-09",-74.2913946372203,-76.71028
"2022-09-10",-73.7617595852332,-76.71028
"2022-09-11",-73.9198273237643,-76.71028
"2022-09-12",-73.7884005173718,-75.70093
"2022-09-13",-75.7126303594146,-77.38318
"2022-09-14",-75.1999679200422,-77.94393
"2022-09-15",-76.1555239796501,-78.39252
"2022-09-16",-76.2966193709812,-78.78505
"2022-09-17",-75.4278997654162,-78.78505
"2022-09-18",-77.4388842451803,-78.78505
"2022-09-19",-77.2136976382285,-79.36449
"2022-09-20",-77.9508625411825,-80.31776
"2022-09-21",-78.4807509355919,-80
"2022-09-22",-77.2553966971503,-79.7757
"2022-09-23",-76.5754936866043,-81.21495
"2022-09-24",-76.9364386403757,-81.21495
"2022-09-25",-77.1333063295656,-81.21495
"2022-09-26",-76.7903818438071,-80.48598
"2022-09-27",-77.0203916938853,-80.91589
"2022-09-28",-77.0519533691094,-80.18692
"2022-09-29",-76.7542499049008,-80.56075
"2022-09-30",-76.951095641531,-80.52336
"2022-10-01",-77.2917340726637,-80.52336
"2022-10-02",-77.7295606540091,-80.52336
"2022-10-03",-77.0149713055222,-80.6729
"2022-10-04",-76.2281431125507,-79.25234
"2022-10-05",-76.2918714388256,-79.04673
"2022-10-06",-76.6996798812464,-78.69159
"2022-10-07",-77.0202972971961,-79.40187
"2022-10-08",-77.2316188003631,-79.40187
"2022-10-09",-76.9820409132673,-79.40187
"2022-10-10",-77.5356831601706,-79.85047
"2022-10-11",-77.8755010623151,-79.90654
"2022-10-12",-77.7995967334697,-79.75701
"2022-10-13",-77.8882225266706,-79.98131
"2022-10-14",-78.0762080797746,-80.13084
"2022-10-15",-78.2428256590743,-80.13084
"2022-10-16",-77.8171332603233,-80.13084
"2022-10-17",-77.4499614150812,-79.85047
"2022-10-18",-77.7484233897195,-79.81308
"2022-10-19",-78.251249327801,-80.74766
"2022-10-20",-78.3973768618,-80.85981
"2022-10-21",-78.1441347508773,-81.1215
"2022-10-22",-78.0260085982591,-81.1215
"2022-10-23",-77.4225621055324,-81.1215
"2022-10-24",-77.8167097527906,-80.8972
"2022-10-25",-76.7617822597665,-79.7757
"2022-10-26",-76.2466652139083,-78.69159
"2022-10-27",-76.8895135177058,-79.38318
"2022-10-28",-76.411173893427,-78.95327
"2022-10-29",-75.8062092997925,-78.95327
"2022-10-30",-75.9229725828883,-78.95327
"2022-10-31",-75.9615713485483,-79.40187
"2022-11-01",-76.1176754493926,-79.42056
"2022-11-02",-76.0673638488552,-79.15888
"2022-11-03",-75.6466852307721,-79.51402
"2022-11-04",-73.5792978480054,-78.63551
"2022-11-05",-73.2754499409645,-78.63551
"2022-11-06",-74.2119884931474,-78.63551
"2022-11-07",-73.9068660710071,-79.53271
"2022-11-08",-77.2655163216649,-81.85047
"2022-11-09",-80.8868400988438,-83.92523
"2022-11-10",-77.8575706844236,-83.30841
"2022-11-11",-78.3533053590412,-86.26168
"2022-11-12",-79.2910962588805,-86.26168
"2022-11-13",-79.9578564343257,-86.26168
"2022-11-14",-79.7297017834718,-87.15888
"2022-11-15",-79.2910680409582,-85.68224
"2022-11-16",-79.6510127129925,-86.37383
"2022-11-17",-79.258498699047,-86.03738
"2022-11-18",-79.1980392709099,-85.34579
"2022-11-19",-79.1152591483161,-85.34579
"2022-11-20",-79.9294305587249,-85.34579
"2022-11-21",-80.2622256020383,-86.97196
"2022-11-22",-78.8449856616933,-86.74766
"2022-11-23",-77.5623719448292,-86.24299
"2022-11-24",-77.5108840016251,-86.24299
"2022-11-25",-78.0009158264107,-86.16822
"2022-11-26",-77.6603328775791,-86.16822
"2022-11-27",-77.9371706427612,-86.16822
"2022-11-28",-78.0409838920763,-86.69159
"2022-11-29",-77.6477291731912,-86.80374
"2022-11-30",-76.5981008237922,-86.52336
"2022-12-01",-76.9434811539164,-86.74766
