"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-20_to_2022-12-01_Index_3QRank","-78.293","-19.781"
"2021-07-20_to_2022-12-01_Crypto10_Index","-85.498","-65.371"
"Volatility",,
"2021-07-20_to_2022-12-01_Index_3QRank","84.38","95.93"
"2021-07-20_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-20_to_2022-12-01_Index_3QRank","42.14","50.19"
"2021-07-20_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-20_to_2022-12-01_Index_3QRank","0.17","0.91"
"2021-07-20_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-20_to_2022-12-01_Index_3QRank","1.11","7.27"
"2021-07-20_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-20_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-20_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-20_to_2022-12-01_Index_3QRank","74.09","70.71"
"2021-07-20_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-20_to_2022-12-01_Index_3QRank","-82.5881","-83.7151"
"2021-07-20_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
