"","2022-03-2022-12"
"Annualized Returns",
"2022-03-13_to_2022-12-01_Index_3QRank","-73.224"
"2022-03-13_to_2022-12-01_Crypto10_Index","-86.043"
"Volatility",
"2022-03-13_to_2022-12-01_Index_3QRank","75.55"
"2022-03-13_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-13_to_2022-12-01_Index_3QRank","38.16"
"2022-03-13_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-13_to_2022-12-01_Index_3QRank","0.34"
"2022-03-13_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-13_to_2022-12-01_Index_3QRank","-2.66"
"2022-03-13_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-13_to_2022-12-01_Index_3QRank","0.72"
"2022-03-13_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-13_to_2022-12-01_Index_3QRank","85.39"
"2022-03-13_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-13_to_2022-12-01_Index_3QRank","-75.9258"
"2022-03-13_to_2022-12-01_Crypto10_Index","-79.9416"
