"","2021-12-2022-12"
"Annualized Returns",
"2021-12-01_to_2022-12-01_Index_3QRank","-76.741"
"2021-12-01_to_2022-12-01_Crypto10_Index","-85.498"
"Volatility",
"2021-12-01_to_2022-12-01_Index_3QRank","79.26"
"2021-12-01_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-01_to_2022-12-01_Index_3QRank","40.8"
"2021-12-01_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-01_to_2022-12-01_Index_3QRank","0.21"
"2021-12-01_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-01_to_2022-12-01_Index_3QRank","0.64"
"2021-12-01_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-01_to_2022-12-01_Index_3QRank","0.82"
"2021-12-01_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-01_to_2022-12-01_Index_3QRank","74.56"
"2021-12-01_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-01_to_2022-12-01_Index_3QRank","-80.5576"
"2021-12-01_to_2022-12-01_Crypto10_Index","-85.948"
