"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-09_to_2022-12-01_Index_3QRank","-76.584","-65.209"
"2021-10-09_to_2022-12-01_Crypto10_Index","-85.498","-82.461"
"Volatility",,
"2021-10-09_to_2022-12-01_Index_3QRank","81.94","76.88"
"2021-10-09_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-09_to_2022-12-01_Index_3QRank","46.68","44.42"
"2021-10-09_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-09_to_2022-12-01_Index_3QRank","0.19","0.39"
"2021-10-09_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-09_to_2022-12-01_Index_3QRank","0.72","2.17"
"2021-10-09_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-09_to_2022-12-01_Index_3QRank","0.82","0.82"
"2021-10-09_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-09_to_2022-12-01_Index_3QRank","67.94","67.41"
"2021-10-09_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-09_to_2022-12-01_Index_3QRank","-81.7689","-82.665"
"2021-10-09_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
