"","2022-02-2022-12"
"Annualized Returns",
"2022-02-26_to_2022-12-01_Index_3QRank","-72.9"
"2022-02-26_to_2022-12-01_Crypto10_Index","-85.395"
"Volatility",
"2022-02-26_to_2022-12-01_Index_3QRank","75.24"
"2022-02-26_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-26_to_2022-12-01_Index_3QRank","42.75"
"2022-02-26_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-26_to_2022-12-01_Index_3QRank","0.29"
"2022-02-26_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-26_to_2022-12-01_Index_3QRank","-0.2"
"2022-02-26_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-26_to_2022-12-01_Index_3QRank","0.72"
"2022-02-26_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-26_to_2022-12-01_Index_3QRank","76.8"
"2022-02-26_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-26_to_2022-12-01_Index_3QRank","-74.3443"
"2022-02-26_to_2022-12-01_Crypto10_Index","-79.9416"
