"","2022-02-2022-12"
"Annualized Returns",
"2022-02-21_to_2022-12-01_Index_3QRank","-68.887"
"2022-02-21_to_2022-12-01_Crypto10_Index","-86.24"
"Volatility",
"2022-02-21_to_2022-12-01_Index_3QRank","79.94"
"2022-02-21_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-21_to_2022-12-01_Index_3QRank","39.02"
"2022-02-21_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-21_to_2022-12-01_Index_3QRank","0.44"
"2022-02-21_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-21_to_2022-12-01_Index_3QRank","0.79"
"2022-02-21_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-21_to_2022-12-01_Index_3QRank","0.78"
"2022-02-21_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-21_to_2022-12-01_Index_3QRank","80.29"
"2022-02-21_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-21_to_2022-12-01_Index_3QRank","-74.739"
"2022-02-21_to_2022-12-01_Crypto10_Index","-79.9416"
