"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-21_to_2022-12-01_Index_3QRank","-75.777","-57.073"
"2021-08-21_to_2022-12-01_Crypto10_Index","-85.498","-77.751"
"Volatility",,
"2021-08-21_to_2022-12-01_Index_3QRank","74.17","71.48"
"2021-08-21_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-21_to_2022-12-01_Index_3QRank","47.11","41.63"
"2021-08-21_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-21_to_2022-12-01_Index_3QRank","0.21","0.5"
"2021-08-21_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-21_to_2022-12-01_Index_3QRank","-0.11","2.32"
"2021-08-21_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-21_to_2022-12-01_Index_3QRank","0.73","0.77"
"2021-08-21_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-21_to_2022-12-01_Index_3QRank","65.8","70.28"
"2021-08-21_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-21_to_2022-12-01_Index_3QRank","-81.0266","-82.845"
"2021-08-21_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
