"","2021-10-10_to_2022-12-01_Index_3QRank","2021-10-10_to_2022-12-01_Crypto10_Index"
"2021-10-10",0,0
"2021-10-11",0,0
"2021-10-12",0,-7.82017363306557
"2021-10-13",0,-5.0812167823601
"2021-10-14",0,0
"2021-10-15",0,0
"2021-10-16",-1.1383295547964,0
"2021-10-17",-2.59318719876528,0
"2021-10-18",-2.8418029815645,-5.28232622741773
"2021-10-19",-1.87699096428313,-8.92531440950741
"2021-10-20",0,-6.73952718877843
"2021-10-21",0,-1.09288886992713
"2021-10-22",0,-2.55008983128783
"2021-10-23",0,-2.55008983128783
"2021-10-24",0,-2.55008983128783
"2021-10-25",0,-4.55373048717473
"2021-10-26",-0.753414609804415,-6.37522457821959
"2021-10-27",-8.28956490822822,-11.4754042407953
"2021-10-28",-0.841753860877381,-8.46993851652753
"2021-10-29",0,-7.10382031846258
"2021-10-30",-3.41976490723532,-7.10382031846258
"2021-10-31",-1.49536229030436,-7.10382031846258
"2021-11-01",-1.02295296771484,-9.47176358490833
"2021-11-02",0,-9.78141843366468
"2021-11-03",0,-8.92531440950741
"2021-11-04",-1.20824221578757,-8.43351299590901
"2021-11-05",-3.09123572564625,-9.10746097434949
"2021-11-06",-1.30929197253743,-9.10746097434949
"2021-11-07",0,-9.10746097434949
"2021-11-08",0,-6.17485577219353
"2021-11-09",0,-7.01274703604153
"2021-11-10",-3.13437468041111,-10.7468085005523
"2021-11-11",-1.56254234823051,-8.92531440950741
"2021-11-12",-3.99649005268456,-8.92531440950741
"2021-11-13",-0.349862779503629,-8.92531440950741
"2021-11-14",0,-8.92531440950741
"2021-11-15",-2.73798339002164,-9.39890306279657
"2021-11-16",-9.55226278387253,-11.1111111111111
"2021-11-17",-7.62708124838855,-15.6466288379766
"2021-11-18",-14.9512370159781,-17.1584680802651
"2021-11-19",-8.54053637956257,-13.75227422482
"2021-11-20",-4.59553844671655,-13.75227422482
"2021-11-21",-4.57894783074312,-13.75227422482
"2021-11-22",-7.15330086277139,-23.0418912448863
"2021-11-23",-5.7367499269579,-21.3114704362624
"2021-11-24",-8.53749474236216,-13.4790448966822
"2021-11-25",-6.14121119228152,-13.4790448966822
"2021-11-26",-15.5231010669227,-12.6229503533996
"2021-11-27",-13.4699605362832,-12.6229503533996
"2021-11-28",-12.2068026693257,-12.6229503533996
"2021-11-29",-8.0902902507154,-9.50818910552687
"2021-11-30",-7.86066913137616,-9.10746097434949
"2021-12-01",-4.61519856477947,-10.9471773065783
"2021-12-02",-6.21961148099692,-11.2568226744599
"2021-12-03",-9.46899399401246,-16.3934373385289
"2021-12-04",-19.2137343186674,-16.3934373385289
"2021-12-05",-21.1928812622384,-16.3934373385289
"2021-12-06",-16.979539784287,-17.1402553199558
"2021-12-07",-17.1800754601455,-18.0327848647316
"2021-12-08",-15.2826818436411,-13.5883404202872
"2021-12-09",-22.8466675238886,-13.2240378097283
"2021-12-10",-25.5633002344596,-17.1220330787718
"2021-12-11",-22.1420314116618,-17.1220330787718
"2021-12-12",-21.8854127471125,-17.1220330787718
"2021-12-13",-29.9249313932236,-23.4790543775569
"2021-12-14",-28.6793104195449,-21.4936170011045
"2021-12-15",-20.3178005908341,-20.5646619357102
