"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-16_to_2022-12-01_Index_3QRank","-76.851","-74.665"
"2021-11-16_to_2022-12-01_Crypto10_Index","-85.498","-84.322"
"Volatility",,
"2021-11-16_to_2022-12-01_Index_3QRank","82.57","78.74"
"2021-11-16_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-16_to_2022-12-01_Index_3QRank","39.53","39.35"
"2021-11-16_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-16_to_2022-12-01_Index_3QRank","0.22","0.25"
"2021-11-16_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-16_to_2022-12-01_Index_3QRank","1.08","1.67"
"2021-11-16_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-16_to_2022-12-01_Index_3QRank","0.87","0.85"
"2021-11-16_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-16_to_2022-12-01_Index_3QRank","76.61","75.24"
"2021-11-16_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-16_to_2022-12-01_Index_3QRank","-81.1063","-81.2596"
"2021-11-16_to_2022-12-01_Crypto10_Index","-85.948","-86.2325"
