"","2022-02-2022-12"
"Annualized Returns",
"2022-02-22_to_2022-12-01_Index_3QRank","-69.14"
"2022-02-22_to_2022-12-01_Crypto10_Index","-84.805"
"Volatility",
"2022-02-22_to_2022-12-01_Index_3QRank","81.61"
"2022-02-22_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-22_to_2022-12-01_Index_3QRank","41.38"
"2022-02-22_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-22_to_2022-12-01_Index_3QRank","0.38"
"2022-02-22_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-22_to_2022-12-01_Index_3QRank","1.31"
"2022-02-22_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-22_to_2022-12-01_Index_3QRank","0.78"
"2022-02-22_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-22_to_2022-12-01_Index_3QRank","77.53"
"2022-02-22_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-22_to_2022-12-01_Index_3QRank","-73.3609"
"2022-02-22_to_2022-12-01_Crypto10_Index","-79.9416"
