"","2021-12-2022-12"
"Annualized Returns",
"2021-12-12_to_2022-12-01_Index_3QRank","-69.955"
"2021-12-12_to_2022-12-01_Crypto10_Index","-85.292"
"Volatility",
"2021-12-12_to_2022-12-01_Index_3QRank","72.49"
"2021-12-12_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-12_to_2022-12-01_Index_3QRank","48.69"
"2021-12-12_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-12_to_2022-12-01_Index_3QRank","0.31"
"2021-12-12_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-12_to_2022-12-01_Index_3QRank","-0.17"
"2021-12-12_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-12_to_2022-12-01_Index_3QRank","0.7"
"2021-12-12_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-12_to_2022-12-01_Index_3QRank","63.4"
"2021-12-12_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-12_to_2022-12-01_Index_3QRank","-78.635"
"2021-12-12_to_2022-12-01_Crypto10_Index","-84.9011"
