"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-22_to_2022-12-01_Index_3QRank","-76.367","-74.752"
"2021-11-22_to_2022-12-01_Crypto10_Index","-85.498","-82.482"
"Volatility",,
"2021-11-22_to_2022-12-01_Index_3QRank","81.1","77.35"
"2021-11-22_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-22_to_2022-12-01_Index_3QRank","39.46","39.1"
"2021-11-22_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-22_to_2022-12-01_Index_3QRank","0.23","0.2"
"2021-11-22_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-22_to_2022-12-01_Index_3QRank","1.02","1.55"
"2021-11-22_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-22_to_2022-12-01_Index_3QRank","0.85","0.83"
"2021-11-22_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-22_to_2022-12-01_Index_3QRank","76.41","75.27"
"2021-11-22_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-22_to_2022-12-01_Index_3QRank","-80.6753","-80.6753"
"2021-11-22_to_2022-12-01_Crypto10_Index","-85.948","-86.2325"
