"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-16_to_2022-12-01_Index_3QRank","-75.103","-67.735"
"2021-10-16_to_2022-12-01_Crypto10_Index","-85.498","-83.761"
"Volatility",,
"2021-10-16_to_2022-12-01_Index_3QRank","76.39","70.39"
"2021-10-16_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-16_to_2022-12-01_Index_3QRank","46.77","43.49"
"2021-10-16_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-16_to_2022-12-01_Index_3QRank","0.22","0.37"
"2021-10-16_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-16_to_2022-12-01_Index_3QRank","0.31","0.81"
"2021-10-16_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-16_to_2022-12-01_Index_3QRank","0.75","0.75"
"2021-10-16_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-16_to_2022-12-01_Index_3QRank","66.57","67.12"
"2021-10-16_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-16_to_2022-12-01_Index_3QRank","-80.2927","-82.3539"
"2021-10-16_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
