"","2022-01-2022-12"
"Annualized Returns",
"2022-01-09_to_2022-12-01_Index_3QRank","-71.397"
"2022-01-09_to_2022-12-01_Crypto10_Index","-83.734"
"Volatility",
"2022-01-09_to_2022-12-01_Index_3QRank","74.95"
"2022-01-09_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-09_to_2022-12-01_Index_3QRank","45.78"
"2022-01-09_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-09_to_2022-12-01_Index_3QRank","0.27"
"2022-01-09_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-09_to_2022-12-01_Index_3QRank","1.76"
"2022-01-09_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-09_to_2022-12-01_Index_3QRank","0.72"
"2022-01-09_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-09_to_2022-12-01_Index_3QRank","70.19"
"2022-01-09_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-09_to_2022-12-01_Index_3QRank","-75.1969"
"2022-01-09_to_2022-12-01_Crypto10_Index","-82.5191"
