"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-03_to_2022-12-01_Index_3QRank","-79.48","-41.086"
"2021-08-03_to_2022-12-01_Crypto10_Index","-85.498","-72.281"
"Volatility",,
"2021-08-03_to_2022-12-01_Index_3QRank","81.74","77.45"
"2021-08-03_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-03_to_2022-12-01_Index_3QRank","42.24","39.54"
"2021-08-03_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-03_to_2022-12-01_Index_3QRank","0.14","0.79"
"2021-08-03_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-03_to_2022-12-01_Index_3QRank","0.18","2.95"
"2021-08-03_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-03_to_2022-12-01_Index_3QRank","0.84","0.86"
"2021-08-03_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-03_to_2022-12-01_Index_3QRank","73.31","74.21"
"2021-08-03_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-03_to_2022-12-01_Index_3QRank","-82.6278","-83.6412"
"2021-08-03_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
