"","2022-02-2022-12"
"Annualized Returns",
"2022-02-25_to_2022-12-01_Index_3QRank","-72.216"
"2022-02-25_to_2022-12-01_Crypto10_Index","-85.294"
"Volatility",
"2022-02-25_to_2022-12-01_Index_3QRank","79.54"
"2022-02-25_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-25_to_2022-12-01_Index_3QRank","39.28"
"2022-02-25_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-25_to_2022-12-01_Index_3QRank","0.33"
"2022-02-25_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-25_to_2022-12-01_Index_3QRank","0.81"
"2022-02-25_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-25_to_2022-12-01_Index_3QRank","0.78"
"2022-02-25_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-25_to_2022-12-01_Index_3QRank","80.06"
"2022-02-25_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-25_to_2022-12-01_Index_3QRank","-74.5087"
"2022-02-25_to_2022-12-01_Crypto10_Index","-79.9416"
