"","2021-12-26_to_2022-12-01_Index_3QRank","2021-12-26_to_2022-12-01_Crypto10_Index"
"2021-12-26",0,0
"2021-12-27",-0.744747200515639,0
"2021-12-28",-8.75843179310253,-6.25723775356909
"2021-12-29",-10.7448375017772,-10.8227083183262
"2021-12-30",-9.11298943069084,-10.7068367594806
"2021-12-31",-9.55576558433722,-11.5874837501614
"2022-01-01",-6.04790437185519,-11.5874837501614
"2022-01-02",-5.43782331034067,-11.5874837501614
"2022-01-03",-5.9358553331311,-11.448430165062
"2022-01-04",-7.60614668574454,-8.92236075186526
"2022-01-05",-10.7403281052992,-10.7763539089245
"2022-01-06",-11.1466381013866,-14.924683004595
"2022-01-07",-15.091742367731,-16.8018485448023
"2022-01-08",-16.248283678937,-16.8018485448023
"2022-01-09",-13.1410482433623,-16.8018485448023
"2022-01-10",-14.9148872198878,-17.4043980083901
"2022-01-11",-12.5397729234488,-11.5179569576117
"2022-01-12",-8.68798886471347,-8.92236075186526
"2022-01-13",-13.5415282773346,-14.1367255465061
"2022-01-14",-10.8486155896333,-13.093852587578
"2022-01-15",-10.2878760690608,-13.093852587578
"2022-01-16",-10.0217195210286,-13.093852587578
"2022-01-17",-12.4825610375987,-13.093852587578
"2022-01-18",-15.3265833188152,-14.692930243798
"2022-01-19",-18.9964513592113,-15.9212015541215
"2022-01-20",-23.248248000953,-19.0730024571598
"2022-01-21",-33.3168822866806,-28.1575891772724
"2022-01-22",-38.9994466978055,-28.1575891772724
"2022-01-23",-35.9852726896439,-28.1575891772724
"2022-01-24",-38.8838243200994,-39.0498242881484
"2022-01-25",-38.1012926049228,-35.6894526505667
"2022-01-26",-38.5865431001372,-33.464653147611
"2022-01-27",-39.1292809881756,-32.9779848859746
"2022-01-28",-36.8849516798917,-27.4855129211349
"2022-01-29",-35.5052568051525,-27.4855129211349
"2022-01-30",-35.7010982007837,-27.4855129211349
"2022-01-31",-35.0693342127162,-26.9061358406951
"2022-02-01",-33.1241702419065,-25.9559620574646
"2022-02-02",-37.3339572983811,-28.1575891772724
"2022-02-03",-36.6441055919495,-30.1506359194311
"2022-02-04",-30.4892887209572,-23.939742932158
"2022-02-05",-29.6830847449455,-23.939742932158
"2022-02-06",-28.1263481308032,-23.939742932158
"2022-02-07",-23.6038073514273,-17.8215491205825
"2022-02-08",-24.7896841790663,-18.4009262010223
"2022-02-09",-22.6615073227995,-15.2027805316881
"2022-02-10",-25.8745043019562,-15.6431040270285
"2022-02-11",-31.5788115697792,-24.6581639545914
"2022-02-12",-31.8581732430214,-24.6581639545914
"2022-02-13",-32.8348760304802,-24.6581639545914
"2022-02-14",-32.1778530288157,-23.0590959414771
"2022-02-15",-26.5045198851148,-19.1888740160054
"2022-02-16",-27.3005716145195,-18.7253781375171
"2022-02-17",-33.5614094557119,-22.595590419883
"2022-02-18",-35.2177705126543,-23.5225918199655
"2022-02-19",-34.4853657381197,-23.5225918199655
"2022-02-20",-38.0003898890537,-23.5225918199655
"2022-02-21",-42.4673450239435,-23.5225918199655
"2022-02-22",-40.1148578450955,-29.5480864558433
"2022-02-23",-41.4409117286186,-29.0382361679532
"2022-02-24",-41.0605108454943,-30.5909594147715
"2022-02-25",-37.6865486792164,-28.8760101997058
"2022-02-26",-37.6131344948343,-28.8760101997058
"2022-02-27",-41.1635175322954,-28.8760101997058
"2022-02-28",-34.3355412621585,-26.4889847285027
"2022-03-01",-33.9549509742882,-25.0984874499318
"2022-03-02",-34.7499365392629,-25.6778645303716
"2022-03-03",-36.5261917772694,-27.8099648576297
"2022-03-04",-41.1201255404864,-32.0509834858921
"2022-03-05",-39.8204968833682,-32.0509834858921
"2022-03-06",-42.4726734259655,-32.0509834858921
"2022-03-07",-43.9627865293828,-34.2526009625941
"2022-03-08",-42.9173727560069,-34.1367294037485
"2022-03-09",-39.2270454401977,-30.1506359194311
"2022-03-10",-42.2819728810394,-31.4716064054523
"2022-03-11",-42.9333305962119,-32.097328252188
"2022-03-12",-42.6762183617307,-32.097328252188
"2022-03-13",-44.5159042011613,-32.097328252188
"2022-03-14",-42.7796975625948,-31.517960814854
"2022-03-15",-42.0746275770402,-29.5480864558433
"2022-03-16",-38.8855606849774,-29.8030115997884
"2022-03-17",-38.7219216724313,-30.1274635362831
"2022-03-18",-36.5183619887004,-28.4588590875134
"2022-03-19",-34.884211125374,-28.4588590875134
"2022-03-20",-36.8641212868817,-28.4588590875134
"2022-03-21",-35.6644210766467,-28.4356867043654
"2022-03-22",-33.693933254493,-27.2074153940419
"2022-03-23",-32.2597089961937,-29.7798392166404
"2022-03-24",-30.0720671516729,-25.9791440837184
"2022-03-25",-31.8984003886554,-23.1981398834708
"2022-03-26",-30.7452328626504,-23.1981398834708
"2022-03-27",-27.4495612157486,-23.1981398834708
"2022-03-28",-28.2846999477893,-22.3638473021917
"2022-03-29",-26.5877630914519,-20.6257257039781
"2022-03-30",-25.2365126526127,-22.3638473021917
"2022-03-31",-26.8136661276351,-25.2143686518832
"2022-04-01",-24.9404042876135,-23.2444942928725
"2022-04-02",-25.4529965381239,-23.2444942928725
"2022-04-03",-23.299444557462,-23.2444942928725
"2022-04-04",-25.1969317919857,-22.5260732704391
"2022-04-05",-27.6916163790308,-23.8702161396083
"2022-04-06",-33.9587485463422,-28.2502883529701
"2022-04-07",-31.8744870994104,-27.4855129211349
"2022-04-08",-34.854427232705,-30.2201627119808
"2022-04-09",-33.6495343539499,-30.2201627119808
"2022-04-10",-34.7414501136459,-30.2201627119808
"2022-04-11",-40.5401300726539,-32.8389313008752
"2022-04-12",-38.9049839945815,-33.9513310523531
"2022-04-13",-36.7305738861016,-31.3789072297546
"2022-04-14",-38.8667458251994,-33.8122774672537
"2022-04-15",-37.5675054511263,-33.8122774672537
