"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-11_to_2022-12-01_Index_3QRank","-75.373","-75.618"
"2021-11-11_to_2022-12-01_Crypto10_Index","-85.498","-84.306"
"Volatility",,
"2021-11-11_to_2022-12-01_Index_3QRank","82.24","78.46"
"2021-11-11_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-11_to_2022-12-01_Index_3QRank","36.85","36.45"
"2021-11-11_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-11_to_2022-12-01_Index_3QRank","0.27","0.24"
"2021-11-11_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-11_to_2022-12-01_Index_3QRank","1.73","2.23"
"2021-11-11_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-11_to_2022-12-01_Index_3QRank","0.88","0.86"
"2021-11-11_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-11_to_2022-12-01_Index_3QRank","79.46","78.54"
"2021-11-11_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-11_to_2022-12-01_Index_3QRank","-80.2388","-81.8908"
"2021-11-11_to_2022-12-01_Crypto10_Index","-85.948","-86.26"
