"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-04_to_2022-12-01_Index_3QRank","-76.082","-63.41"
"2021-10-04_to_2022-12-01_Crypto10_Index","-85.498","-78.456"
"Volatility",,
"2021-10-04_to_2022-12-01_Index_3QRank","81.47","76.19"
"2021-10-04_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-04_to_2022-12-01_Index_3QRank","46.64","44.13"
"2021-10-04_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-04_to_2022-12-01_Index_3QRank","0.2","0.34"
"2021-10-04_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-04_to_2022-12-01_Index_3QRank","0.8","2.11"
"2021-10-04_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-04_to_2022-12-01_Index_3QRank","0.81","0.81"
"2021-10-04_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-04_to_2022-12-01_Index_3QRank","67.85","67.57"
"2021-10-04_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-04_to_2022-12-01_Index_3QRank","-81.4838","-82.5353"
"2021-10-04_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
