"","2021-12-2022-12"
"Annualized Returns",
"2021-12-17_to_2022-12-01_Index_3QRank","-68.659"
"2021-12-17_to_2022-12-01_Crypto10_Index","-84.449"
"Volatility",
"2021-12-17_to_2022-12-01_Index_3QRank","70.71"
"2021-12-17_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-17_to_2022-12-01_Index_3QRank","49.87"
"2021-12-17_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-17_to_2022-12-01_Index_3QRank","0.32"
"2021-12-17_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-17_to_2022-12-01_Index_3QRank","-0.27"
"2021-12-17_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-17_to_2022-12-01_Index_3QRank","0.68"
"2021-12-17_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-17_to_2022-12-01_Index_3QRank","61.52"
"2021-12-17_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-17_to_2022-12-01_Index_3QRank","-77.9894"
"2021-12-17_to_2022-12-01_Crypto10_Index","-84.0788"
