"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-09_to_2022-12-01_Index_3QRank","-79.287","-46.71"
"2021-08-09_to_2022-12-01_Crypto10_Index","-85.498","-75.705"
"Volatility",,
"2021-08-09_to_2022-12-01_Index_3QRank","81.09","76.78"
"2021-08-09_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-09_to_2022-12-01_Index_3QRank","42.35","39.26"
"2021-08-09_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-09_to_2022-12-01_Index_3QRank","0.15","0.74"
"2021-08-09_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-09_to_2022-12-01_Index_3QRank","0.12","2.77"
"2021-08-09_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-09_to_2022-12-01_Index_3QRank","0.83","0.85"
"2021-08-09_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-09_to_2022-12-01_Index_3QRank","73.04","74.37"
"2021-08-09_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-09_to_2022-12-01_Index_3QRank","-82.4725","-83.6403"
"2021-08-09_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
