"","2022-03-2022-12"
"Annualized Returns",
"2022-03-08_to_2022-12-01_Index_3QRank","-73.973"
"2022-03-08_to_2022-12-01_Crypto10_Index","-84.907"
"Volatility",
"2022-03-08_to_2022-12-01_Index_3QRank","70.76"
"2022-03-08_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-08_to_2022-12-01_Index_3QRank","42.71"
"2022-03-08_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-08_to_2022-12-01_Index_3QRank","0.26"
"2022-03-08_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-08_to_2022-12-01_Index_3QRank","-3.67"
"2022-03-08_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-08_to_2022-12-01_Index_3QRank","0.67"
"2022-03-08_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-08_to_2022-12-01_Index_3QRank","82.39"
"2022-03-08_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-08_to_2022-12-01_Index_3QRank","-75.6744"
"2022-03-08_to_2022-12-01_Crypto10_Index","-79.9416"
