"","2022-01-2022-12"
"Annualized Returns",
"2022-01-23_to_2022-12-01_Index_3QRank","-64.831"
"2022-01-23_to_2022-12-01_Crypto10_Index","-82.199"
"Volatility",
"2022-01-23_to_2022-12-01_Index_3QRank","75.87"
"2022-01-23_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-23_to_2022-12-01_Index_3QRank","44.48"
"2022-01-23_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-23_to_2022-12-01_Index_3QRank","0.39"
"2022-01-23_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-23_to_2022-12-01_Index_3QRank","1.76"
"2022-01-23_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-23_to_2022-12-01_Index_3QRank","0.74"
"2022-01-23_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-23_to_2022-12-01_Index_3QRank","71.86"
"2022-01-23_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-23_to_2022-12-01_Index_3QRank","-72.987"
"2022-01-23_to_2022-12-01_Crypto10_Index","-81.2244"
