"","2022-12-2021-12","2021-06-2022-12"
"Annualized Returns",,
"2021-06-23_to_2022-12-01_Index_3QRank","-82.274","-40.308"
"2021-06-23_to_2022-12-01_Crypto10_Index","-85.498","-66.779"
"Volatility",,
"2021-06-23_to_2022-12-01_Index_3QRank","81.46","93.1"
"2021-06-23_to_2022-12-01_Crypto10_Index","84.65","78.14"
"Tracking Error",,
"2021-06-23_to_2022-12-01_Index_3QRank","39.73","49.67"
"2021-06-23_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-06-23_to_2022-12-01_Index_3QRank","0.08","0.53"
"2021-06-23_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-06-23_to_2022-12-01_Index_3QRank","-0.74","5.64"
"2021-06-23_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-06-23_to_2022-12-01_Index_3QRank","0.85","1.01"
"2021-06-23_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-06-23_to_2022-12-01_Index_3QRank","76.17","69.64"
"2021-06-23_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-06-23_to_2022-12-01_Index_3QRank","-84.4665","-85.4646"
"2021-06-23_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
