"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-22_to_2022-12-01_Index_3QRank","-75.596","-61.076"
"2021-09-22_to_2022-12-01_Crypto10_Index","-85.498","-78.839"
"Volatility",,
"2021-09-22_to_2022-12-01_Index_3QRank","81.19","79.72"
"2021-09-22_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-22_to_2022-12-01_Index_3QRank","45.09","40.88"
"2021-09-22_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-22_to_2022-12-01_Index_3QRank","0.22","0.43"
"2021-09-22_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-22_to_2022-12-01_Index_3QRank","1.09","3.17"
"2021-09-22_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-22_to_2022-12-01_Index_3QRank","0.82","0.85"
"2021-09-22_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-22_to_2022-12-01_Index_3QRank","69.72","73.99"
"2021-09-22_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-22_to_2022-12-01_Index_3QRank","-81.3272","-82.5046"
"2021-09-22_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
