"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-16_to_2022-12-01_Index_3QRank","-76.985","-52.346"
"2021-08-16_to_2022-12-01_Crypto10_Index","-85.498","-76.45"
"Volatility",,
"2021-08-16_to_2022-12-01_Index_3QRank","76.62","73.24"
"2021-08-16_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-16_to_2022-12-01_Index_3QRank","46.32","41.96"
"2021-08-16_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-16_to_2022-12-01_Index_3QRank","0.18","0.57"
"2021-08-16_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-16_to_2022-12-01_Index_3QRank","-0.09","2.67"
"2021-08-16_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-16_to_2022-12-01_Index_3QRank","0.76","0.79"
"2021-08-16_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-16_to_2022-12-01_Index_3QRank","67.2","70.13"
"2021-08-16_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-16_to_2022-12-01_Index_3QRank","-81.7484","-83.0229"
"2021-08-16_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
