"","2021-12-2022-12"
"Annualized Returns",
"2021-12-27_to_2022-12-01_Index_3QRank","-74.139"
"2021-12-27_to_2022-12-01_Crypto10_Index","-85.694"
"Volatility",
"2021-12-27_to_2022-12-01_Index_3QRank","70.74"
"2021-12-27_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-27_to_2022-12-01_Index_3QRank","50.06"
"2021-12-27_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-27_to_2022-12-01_Index_3QRank","0.23"
"2021-12-27_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-27_to_2022-12-01_Index_3QRank","-0.34"
"2021-12-27_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-27_to_2022-12-01_Index_3QRank","0.67"
"2021-12-27_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-27_to_2022-12-01_Index_3QRank","61.23"
"2021-12-27_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-27_to_2022-12-01_Index_3QRank","-77.757"
"2021-12-27_to_2022-12-01_Crypto10_Index","-84.0788"
