"","2021-12-2022-12"
"Annualized Returns",
"2021-12-06_to_2022-12-01_Index_3QRank","-70.243"
"2021-12-06_to_2022-12-01_Crypto10_Index","-84.811"
"Volatility",
"2021-12-06_to_2022-12-01_Index_3QRank","71.85"
"2021-12-06_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-06_to_2022-12-01_Index_3QRank","49.22"
"2021-12-06_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-06_to_2022-12-01_Index_3QRank","0.3"
"2021-12-06_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-06_to_2022-12-01_Index_3QRank","-0.19"
"2021-12-06_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-06_to_2022-12-01_Index_3QRank","0.69"
"2021-12-06_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-06_to_2022-12-01_Index_3QRank","62.56"
"2021-12-06_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-06_to_2022-12-01_Index_3QRank","-78.3705"
"2021-12-06_to_2022-12-01_Crypto10_Index","-85.5793"
