"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-21_to_2022-12-01_Index_3QRank","-76.449","-75.692"
"2021-11-21_to_2022-12-01_Crypto10_Index","-85.498","-84.249"
"Volatility",,
"2021-11-21_to_2022-12-01_Index_3QRank","81.62","77.84"
"2021-11-21_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-21_to_2022-12-01_Index_3QRank","39.36","39.07"
"2021-11-21_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-21_to_2022-12-01_Index_3QRank","0.23","0.22"
"2021-11-21_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-21_to_2022-12-01_Index_3QRank","1.08","1.63"
"2021-11-21_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-21_to_2022-12-01_Index_3QRank","0.86","0.84"
"2021-11-21_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-21_to_2022-12-01_Index_3QRank","76.62","75.39"
"2021-11-21_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-21_to_2022-12-01_Index_3QRank","-80.7567","-80.893"
"2021-11-21_to_2022-12-01_Crypto10_Index","-85.948","-86.2325"
