"","2022-03-2022-12"
"Annualized Returns",
"2022-03-16_to_2022-12-01_Index_3QRank","-76.477"
"2022-03-16_to_2022-12-01_Crypto10_Index","-86.979"
"Volatility",
"2022-03-16_to_2022-12-01_Index_3QRank","75.38"
"2022-03-16_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-16_to_2022-12-01_Index_3QRank","38.33"
"2022-03-16_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-16_to_2022-12-01_Index_3QRank","0.27"
"2022-03-16_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-16_to_2022-12-01_Index_3QRank","-2.69"
"2022-03-16_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-16_to_2022-12-01_Index_3QRank","0.72"
"2022-03-16_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-16_to_2022-12-01_Index_3QRank","85.28"
"2022-03-16_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-16_to_2022-12-01_Index_3QRank","-75.8842"
"2022-03-16_to_2022-12-01_Crypto10_Index","-79.9416"
