"","2021-12-2022-12"
"Annualized Returns",
"2021-12-19_to_2022-12-01_Index_3QRank","-70.013"
"2021-12-19_to_2022-12-01_Crypto10_Index","-84.615"
"Volatility",
"2021-12-19_to_2022-12-01_Index_3QRank","70.91"
"2021-12-19_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-19_to_2022-12-01_Index_3QRank","49.48"
"2021-12-19_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-19_to_2022-12-01_Index_3QRank","0.3"
"2021-12-19_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-19_to_2022-12-01_Index_3QRank","-0.29"
"2021-12-19_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-19_to_2022-12-01_Index_3QRank","0.68"
"2021-12-19_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-19_to_2022-12-01_Index_3QRank","62.12"
"2021-12-19_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-19_to_2022-12-01_Index_3QRank","-78.0688"
"2021-12-19_to_2022-12-01_Crypto10_Index","-84.0788"
