"","2022-02-2022-12"
"Annualized Returns",
"2022-02-06_to_2022-12-01_Index_3QRank","-70.736"
"2022-02-06_to_2022-12-01_Crypto10_Index","-84.693"
"Volatility",
"2022-02-06_to_2022-12-01_Index_3QRank","78.78"
"2022-02-06_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-06_to_2022-12-01_Index_3QRank","47.3"
"2022-02-06_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-06_to_2022-12-01_Index_3QRank","0.3"
"2022-02-06_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-06_to_2022-12-01_Index_3QRank","1.23"
"2022-02-06_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-06_to_2022-12-01_Index_3QRank","0.73"
"2022-02-06_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-06_to_2022-12-01_Index_3QRank","70.61"
"2022-02-06_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-06_to_2022-12-01_Index_3QRank","-72.7056"
"2022-02-06_to_2022-12-01_Crypto10_Index","-81.2244"
