"","2022-01-2022-12"
"Annualized Returns",
"2022-01-01_to_2022-12-01_Index_3QRank","-72.995"
"2022-01-01_to_2022-12-01_Crypto10_Index","-84.103"
"Volatility",
"2022-01-01_to_2022-12-01_Index_3QRank","70.19"
"2022-01-01_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-01_to_2022-12-01_Index_3QRank","49.78"
"2022-01-01_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-01_to_2022-12-01_Index_3QRank","0.22"
"2022-01-01_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-01_to_2022-12-01_Index_3QRank","1.07"
"2022-01-01_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-01_to_2022-12-01_Index_3QRank","0.65"
"2022-01-01_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-01_to_2022-12-01_Index_3QRank","64.91"
"2022-01-01_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-01_to_2022-12-01_Index_3QRank","-76.5446"
"2022-01-01_to_2022-12-01_Crypto10_Index","-82.5191"
