"","2021-12-2022-12"
"Annualized Returns",
"2021-12-02_to_2022-12-01_Index_3QRank","-76.741"
"2021-12-02_to_2022-12-01_Crypto10_Index","-85.524"
"Volatility",
"2021-12-02_to_2022-12-01_Index_3QRank","79.15"
"2021-12-02_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-02_to_2022-12-01_Index_3QRank","40.86"
"2021-12-02_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-02_to_2022-12-01_Index_3QRank","0.21"
"2021-12-02_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-02_to_2022-12-01_Index_3QRank","0.56"
"2021-12-02_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-02_to_2022-12-01_Index_3QRank","0.82"
"2021-12-02_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-02_to_2022-12-01_Index_3QRank","74.48"
"2021-12-02_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-02_to_2022-12-01_Index_3QRank","-80.3428"
"2021-12-02_to_2022-12-01_Crypto10_Index","-85.899"
