"","2021-12-2022-12"
"Annualized Returns",
"2021-12-03_to_2022-12-01_Index_3QRank","-72.906"
"2021-12-03_to_2022-12-01_Crypto10_Index","-84.712"
"Volatility",
"2021-12-03_to_2022-12-01_Index_3QRank","72.57"
"2021-12-03_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-03_to_2022-12-01_Index_3QRank","48.3"
"2021-12-03_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-03_to_2022-12-01_Index_3QRank","0.24"
"2021-12-03_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-03_to_2022-12-01_Index_3QRank","-0.05"
"2021-12-03_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-03_to_2022-12-01_Index_3QRank","0.7"
"2021-12-03_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-03_to_2022-12-01_Index_3QRank","63.96"
"2021-12-03_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-03_to_2022-12-01_Index_3QRank","-78.9165"
"2021-12-03_to_2022-12-01_Crypto10_Index","-85.5793"
