"","2022-02-2022-12"
"Annualized Returns",
"2022-02-04_to_2022-12-01_Index_3QRank","-72.125"
"2022-02-04_to_2022-12-01_Crypto10_Index","-84.501"
"Volatility",
"2022-02-04_to_2022-12-01_Index_3QRank","82.24"
"2022-02-04_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-04_to_2022-12-01_Index_3QRank","41.14"
"2022-02-04_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-04_to_2022-12-01_Index_3QRank","0.3"
"2022-02-04_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-04_to_2022-12-01_Index_3QRank","1.38"
"2022-02-04_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-04_to_2022-12-01_Index_3QRank","0.79"
"2022-02-04_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-04_to_2022-12-01_Index_3QRank","77.76"
"2022-02-04_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-04_to_2022-12-01_Index_3QRank","-73.4188"
"2022-02-04_to_2022-12-01_Crypto10_Index","-81.2244"
