"","2021-12-2022-12"
"Annualized Returns",
"2021-12-24_to_2022-12-01_Index_3QRank","-73.119"
"2021-12-24_to_2022-12-01_Crypto10_Index","-84.873"
"Volatility",
"2021-12-24_to_2022-12-01_Index_3QRank","71.02"
"2021-12-24_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-24_to_2022-12-01_Index_3QRank","49.53"
"2021-12-24_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-24_to_2022-12-01_Index_3QRank","0.24"
"2021-12-24_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-24_to_2022-12-01_Index_3QRank","-0.28"
"2021-12-24_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-24_to_2022-12-01_Index_3QRank","0.68"
"2021-12-24_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-24_to_2022-12-01_Index_3QRank","62.04"
"2021-12-24_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-24_to_2022-12-01_Index_3QRank","-78.0626"
"2021-12-24_to_2022-12-01_Crypto10_Index","-84.0788"
