"","2021-12-2022-12"
"Annualized Returns",
"2021-12-30_to_2022-12-01_Index_3QRank","-72.048"
"2021-12-30_to_2022-12-01_Crypto10_Index","-84.1"
"Volatility",
"2021-12-30_to_2022-12-01_Index_3QRank","70.78"
"2021-12-30_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-30_to_2022-12-01_Index_3QRank","49.72"
"2021-12-30_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-30_to_2022-12-01_Index_3QRank","0.24"
"2021-12-30_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-30_to_2022-12-01_Index_3QRank","-0.35"
"2021-12-30_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-30_to_2022-12-01_Index_3QRank","0.68"
"2021-12-30_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-30_to_2022-12-01_Index_3QRank","61.74"
"2021-12-30_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-30_to_2022-12-01_Index_3QRank","-76.6675"
"2021-12-30_to_2022-12-01_Crypto10_Index","-82.5191"
