"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-29_to_2022-12-01_Index_3QRank","-75.615","-58.068"
"2021-09-29_to_2022-12-01_Crypto10_Index","-85.498","-76.392"
"Volatility",,
"2021-09-29_to_2022-12-01_Index_3QRank","81.4","79.85"
"2021-09-29_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-29_to_2022-12-01_Index_3QRank","45.19","41"
"2021-09-29_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-29_to_2022-12-01_Index_3QRank","0.22","0.45"
"2021-09-29_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-29_to_2022-12-01_Index_3QRank","1.11","3.18"
"2021-09-29_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-29_to_2022-12-01_Index_3QRank","0.82","0.85"
"2021-09-29_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-29_to_2022-12-01_Index_3QRank","69.65","73.89"
"2021-09-29_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-29_to_2022-12-01_Index_3QRank","-81.3784","-82.5341"
"2021-09-29_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
