"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-02_to_2022-12-01_Index_3QRank","-79.538","-41.132"
"2021-08-02_to_2022-12-01_Crypto10_Index","-85.498","-73.257"
"Volatility",,
"2021-08-02_to_2022-12-01_Index_3QRank","81.39","77.16"
"2021-08-02_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-02_to_2022-12-01_Index_3QRank","42.42","39.59"
"2021-08-02_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-02_to_2022-12-01_Index_3QRank","0.14","0.81"
"2021-08-02_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-02_to_2022-12-01_Index_3QRank","0.11","2.85"
"2021-08-02_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-02_to_2022-12-01_Index_3QRank","0.84","0.85"
"2021-08-02_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-02_to_2022-12-01_Index_3QRank","73.03","74.06"
"2021-08-02_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-02_to_2022-12-01_Index_3QRank","-82.611","-83.6773"
"2021-08-02_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
