"","2022-01-2022-12"
"Annualized Returns",
"2022-01-05_to_2022-12-01_Index_3QRank","-72.468"
"2022-01-05_to_2022-12-01_Crypto10_Index","-84.61"
"Volatility",
"2022-01-05_to_2022-12-01_Index_3QRank","74.69"
"2022-01-05_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-05_to_2022-12-01_Index_3QRank","46.33"
"2022-01-05_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-05_to_2022-12-01_Index_3QRank","0.26"
"2022-01-05_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-05_to_2022-12-01_Index_3QRank","1.78"
"2022-01-05_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-05_to_2022-12-01_Index_3QRank","0.72"
"2022-01-05_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-05_to_2022-12-01_Index_3QRank","69.48"
"2022-01-05_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-05_to_2022-12-01_Index_3QRank","-74.992"
"2022-01-05_to_2022-12-01_Crypto10_Index","-82.5191"
