"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-21_to_2022-12-01_Index_3QRank","-75.903","-56.559"
"2021-09-21_to_2022-12-01_Crypto10_Index","-85.498","-77.669"
"Volatility",,
"2021-09-21_to_2022-12-01_Index_3QRank","82.04","80.47"
"2021-09-21_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-21_to_2022-12-01_Index_3QRank","44.75","40.82"
"2021-09-21_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-21_to_2022-12-01_Index_3QRank","0.21","0.52"
"2021-09-21_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-21_to_2022-12-01_Index_3QRank","1.13","3.27"
"2021-09-21_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-21_to_2022-12-01_Index_3QRank","0.83","0.86"
"2021-09-21_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-21_to_2022-12-01_Index_3QRank","70.36","74.26"
"2021-09-21_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-21_to_2022-12-01_Index_3QRank","-81.56","-82.5747"
"2021-09-21_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
