"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-30_to_2022-12-01_Index_3QRank","-74.321","-57.166"
"2021-08-30_to_2022-12-01_Crypto10_Index","-85.498","-79.083"
"Volatility",,
"2021-08-30_to_2022-12-01_Index_3QRank","74.29","71.11"
"2021-08-30_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-30_to_2022-12-01_Index_3QRank","46.78","41.11"
"2021-08-30_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-30_to_2022-12-01_Index_3QRank","0.24","0.53"
"2021-08-30_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-30_to_2022-12-01_Index_3QRank","0.21","2.45"
"2021-08-30_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-30_to_2022-12-01_Index_3QRank","0.73","0.77"
"2021-08-30_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-30_to_2022-12-01_Index_3QRank","66.27","70.93"
"2021-08-30_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-30_to_2022-12-01_Index_3QRank","-80.5348","-82.4588"
"2021-08-30_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
