"","2022-02-2022-12"
"Annualized Returns",
"2022-02-09_to_2022-12-01_Index_3QRank","-76.203"
"2022-02-09_to_2022-12-01_Crypto10_Index","-86.873"
"Volatility",
"2022-02-09_to_2022-12-01_Index_3QRank","81.52"
"2022-02-09_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-09_to_2022-12-01_Index_3QRank","41.21"
"2022-02-09_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-09_to_2022-12-01_Index_3QRank","0.26"
"2022-02-09_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-09_to_2022-12-01_Index_3QRank","1.18"
"2022-02-09_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-09_to_2022-12-01_Index_3QRank","0.78"
"2022-02-09_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-09_to_2022-12-01_Index_3QRank","77.73"
"2022-02-09_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-09_to_2022-12-01_Index_3QRank","-73.679"
"2022-02-09_to_2022-12-01_Crypto10_Index","-81.2244"
