"","2022-01-2022-12"
"Annualized Returns",
"2022-01-21_to_2022-12-01_Index_3QRank","-65.964"
"2022-01-21_to_2022-12-01_Crypto10_Index","-82.002"
"Volatility",
"2022-01-21_to_2022-12-01_Index_3QRank","75.73"
"2022-01-21_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-21_to_2022-12-01_Index_3QRank","44.84"
"2022-01-21_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-21_to_2022-12-01_Index_3QRank","0.36"
"2022-01-21_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-21_to_2022-12-01_Index_3QRank","1.78"
"2022-01-21_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-21_to_2022-12-01_Index_3QRank","0.74"
"2022-01-21_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-21_to_2022-12-01_Index_3QRank","71.4"
"2022-01-21_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-21_to_2022-12-01_Index_3QRank","-72.8135"
"2022-01-21_to_2022-12-01_Crypto10_Index","-81.2244"
