"","2022-03-2022-12"
"Annualized Returns",
"2022-03-22_to_2022-12-01_Index_3QRank","-80.77"
"2022-03-22_to_2022-12-01_Crypto10_Index","-88.222"
"Volatility",
"2022-03-22_to_2022-12-01_Index_3QRank","75.72"
"2022-03-22_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-22_to_2022-12-01_Index_3QRank","37.73"
"2022-03-22_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-22_to_2022-12-01_Index_3QRank","0.2"
"2022-03-22_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-22_to_2022-12-01_Index_3QRank","-2.6"
"2022-03-22_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-22_to_2022-12-01_Index_3QRank","0.72"
"2022-03-22_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-22_to_2022-12-01_Index_3QRank","85.79"
"2022-03-22_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-22_to_2022-12-01_Index_3QRank","-75.8905"
"2022-03-22_to_2022-12-01_Crypto10_Index","-79.9416"
