"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-26_to_2022-12-01_Index_3QRank","-74.158","-70.463"
"2021-11-26_to_2022-12-01_Crypto10_Index","-85.498","-84.833"
"Volatility",,
"2021-11-26_to_2022-12-01_Index_3QRank","74.89","71.52"
"2021-11-26_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-26_to_2022-12-01_Index_3QRank","46.57","45.19"
"2021-11-26_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-26_to_2022-12-01_Index_3QRank","0.24","0.32"
"2021-11-26_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-26_to_2022-12-01_Index_3QRank","0.34","0.65"
"2021-11-26_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-26_to_2022-12-01_Index_3QRank","0.74","0.73"
"2021-11-26_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-26_to_2022-12-01_Index_3QRank","66.64","66.51"
"2021-11-26_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-26_to_2022-12-01_Index_3QRank","-80.4659","-80.4659"
"2021-11-26_to_2022-12-01_Crypto10_Index","-85.948","-86.2325"
