"","2021-12-2022-12"
"Annualized Returns",
"2021-12-09_to_2022-12-01_Index_3QRank","-68.983"
"2021-12-09_to_2022-12-01_Crypto10_Index","-85.739"
"Volatility",
"2021-12-09_to_2022-12-01_Index_3QRank","72.24"
"2021-12-09_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-09_to_2022-12-01_Index_3QRank","49.05"
"2021-12-09_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-09_to_2022-12-01_Index_3QRank","0.34"
"2021-12-09_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-09_to_2022-12-01_Index_3QRank","-0.18"
"2021-12-09_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-09_to_2022-12-01_Index_3QRank","0.7"
"2021-12-09_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-09_to_2022-12-01_Index_3QRank","62.85"
"2021-12-09_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-09_to_2022-12-01_Index_3QRank","-78.5125"
"2021-12-09_to_2022-12-01_Crypto10_Index","-85.5794"
