"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-25_to_2022-12-01_Index_3QRank","-74.078","-73.021"
"2021-11-25_to_2022-12-01_Crypto10_Index","-85.498","-84.607"
"Volatility",,
"2021-11-25_to_2022-12-01_Index_3QRank","74.69","71.33"
"2021-11-25_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-25_to_2022-12-01_Index_3QRank","46.46","45.09"
"2021-11-25_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-25_to_2022-12-01_Index_3QRank","0.25","0.26"
"2021-11-25_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-25_to_2022-12-01_Index_3QRank","0.34","0.65"
"2021-11-25_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-25_to_2022-12-01_Index_3QRank","0.74","0.73"
"2021-11-25_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-25_to_2022-12-01_Index_3QRank","66.75","66.63"
"2021-11-25_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-25_to_2022-12-01_Index_3QRank","-80.3948","-80.3948"
"2021-11-25_to_2022-12-01_Crypto10_Index","-85.948","-86.2325"
