"","2021-12-2022-12"
"Annualized Returns",
"2021-12-07_to_2022-12-01_Index_3QRank","-70.853"
"2021-12-07_to_2022-12-01_Crypto10_Index","-84.724"
"Volatility",
"2021-12-07_to_2022-12-01_Index_3QRank","71.97"
"2021-12-07_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-07_to_2022-12-01_Index_3QRank","49.09"
"2021-12-07_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-07_to_2022-12-01_Index_3QRank","0.28"
"2021-12-07_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-07_to_2022-12-01_Index_3QRank","-0.25"
"2021-12-07_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-07_to_2022-12-01_Index_3QRank","0.69"
"2021-12-07_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-07_to_2022-12-01_Index_3QRank","62.77"
"2021-12-07_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-07_to_2022-12-01_Index_3QRank","-78.428"
"2021-12-07_to_2022-12-01_Crypto10_Index","-85.5793"
