"","2022-02-2022-12"
"Annualized Returns",
"2022-02-27_to_2022-12-01_Index_3QRank","-71.048"
"2022-02-27_to_2022-12-01_Crypto10_Index","-85.496"
"Volatility",
"2022-02-27_to_2022-12-01_Index_3QRank","75.32"
"2022-02-27_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-27_to_2022-12-01_Index_3QRank","42.8"
"2022-02-27_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-27_to_2022-12-01_Index_3QRank","0.34"
"2022-02-27_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-27_to_2022-12-01_Index_3QRank","-0.21"
"2022-02-27_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-27_to_2022-12-01_Index_3QRank","0.72"
"2022-02-27_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-27_to_2022-12-01_Index_3QRank","76.72"
"2022-02-27_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-27_to_2022-12-01_Index_3QRank","-74.3838"
"2022-02-27_to_2022-12-01_Crypto10_Index","-79.9416"
