"","2022-01-2022-12"
"Annualized Returns",
"2022-01-16_to_2022-12-01_Index_3QRank","-74.395"
"2022-01-16_to_2022-12-01_Crypto10_Index","-85.13"
"Volatility",
"2022-01-16_to_2022-12-01_Index_3QRank","75.25"
"2022-01-16_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-16_to_2022-12-01_Index_3QRank","45.22"
"2022-01-16_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-16_to_2022-12-01_Index_3QRank","0.24"
"2022-01-16_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-16_to_2022-12-01_Index_3QRank","1.74"
"2022-01-16_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-16_to_2022-12-01_Index_3QRank","0.73"
"2022-01-16_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-16_to_2022-12-01_Index_3QRank","70.92"
"2022-01-16_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-16_to_2022-12-01_Index_3QRank","-75.3043"
"2022-01-16_to_2022-12-01_Crypto10_Index","-81.68"
